block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx,deposit_addresses,withdrawal_addresses
12998582,0.00010000,0.00000000,0.00010000,28954.20641538,551,0.00010000,0x0dd8b3be1bfab673766b1186ed17276773d90f09,
12998595,0.00000134,0.00000000,0.00000134,28954.20641672,551,0.00000134,0x277b652f157e3101f64ef59f03d868ec01ea8b32,
12998614,0.00117900,0.00000000,0.00117900,28954.20759572,552,0.00088800,0xe3db62ceada37f028b6907f14fb40d5a1790b03c,
12998617,0.00000100,0.00000000,0.00000100,28954.20759672,552,0.00000100,0xc91df38d3b92b2605e698b2aa305e62b655e4cb8,
12998619,0.00100100,0.00000000,0.00100100,28954.20859772,553,0.00100000,0xc91df38d3b92b2605e698b2aa305e62b655e4cb8|0x87b7ee32d51f57b6f47c794aa29e7d1b681bf11e,
12998622,0.00000100,0.00000000,0.00000100,28954.20859872,553,0.00000100,0xc91df38d3b92b2605e698b2aa305e62b655e4cb8,
12998624,0.00100000,0.00000000,0.00100000,28954.20959872,553,0.00100000,0x0e860f44d73f9fdbaf5e9b19afc554bf3c8e8a57,
12998626,0.00000234,0.00000000,0.00000234,28954.20960105,554,0.00000134,0x8682b6f62e980ea69127dc175cb4fb3ac7af86af|0xc91df38d3b92b2605e698b2aa305e62b655e4cb8,
12998627,0.00000100,0.00000000,0.00000100,28954.20960205,554,0.00000100,0xc91df38d3b92b2605e698b2aa305e62b655e4cb8,
12998631,0.00768000,0.00000000,0.00768000,28954.21728205,556,0.00690000,0x325382aefef7f624e41bf3f999db76fff40662eb|0x4826569ddae688155ebe76463b047bfa424035b5|0xe6a42207c3e008df25edb2cdef9d0373a3858c4a,
12998636,0.00000013,0.00000000,0.00000013,28954.21728219,556,0.00000013,0x277b652f157e3101f64ef59f03d868ec01ea8b32,
12998641,0.00003000,0.00000000,0.00003000,28954.21731219,556,0.00003000,0x502828034c43cf0f1fc6c78ae124e100e99032c3,
12998643,0.00020000,0.00000000,0.00020000,28954.21751219,557,0.00020000,0x4211117e9a19de887e01afdddcf52ba5eefa7d07,
12998647,0.00110100,0.00000000,0.00110100,28954.21861319,560,0.00100000,0xf635cf84b040151394b79dab027a8a4fd94a8568|0x7f08352ddac4c80b4e45c254473cb109d9ae282d|0x1dd2e9415c21b4ad704b823f5a04fe676de10c3d,
