block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx,deposit_addresses,withdrawal_addresses
5673775,0.00000000,1.00000000,-1.00000000,139.72175053,161,1.00000000,,0x9e446f6133e47600e77c412e3a2987dbcb4a1638
5673781,3.99960000,0.00000000,3.99960000,143.72135053,162,3.99960000,0x5b474fa906a5ceaf7760afec6133c59eba70602b,
5673794,3.15800000,0.00000000,3.15800000,146.87935053,163,3.15800000,0x4f2ecbf2314616f350a03b5f618ecdfd0842ffc0,
5673810,2.53700000,8.24128700,-5.70428700,141.17506353,165,8.24128700,0x116c219d1bbea74d94b4c659488ac5699fe7c270,0x5256a5ff81a8912d9c94e6a242659020e7432fdb
5673822,5.57700000,0.00000000,5.57700000,146.75206353,166,5.57700000,0xf98a481bcc75e1c27d21158e1a190f56bc33b280,
5673925,2.19700000,0.00000000,2.19700000,148.94906353,167,2.19700000,0x9b80788d24cdba36f017d75b4ae1e3201858b90c,
5673945,2.99700000,0.00000000,2.99700000,151.94606353,168,2.99700000,0xa5d3d89031511b9bffcf35d3eeef94c9bcff2fb6,
5673959,2.73300000,0.00000000,2.73300000,154.67906353,169,2.73300000,0x0e87103ce66359a712b9c13886f5b19042272292,
5673981,2.03500000,0.00000000,2.03500000,156.71406353,170,2.03500000,0x6d29abc4476af52d888b1aac51712676a29b25de,
5673990,2.51600000,0.00000000,2.51600000,159.23006353,171,2.51600000,0x1b25f89dffb72c219c04effef808028888ba8e24,
5674002,2.99700000,0.00000000,2.99700000,162.22706353,172,2.99700000,0x0458f1bc66ad97e58265b18e7e075df298dc5a7e,
5674015,0.00000000,1.52000000,-1.52000000,160.70706353,172,1.52000000,,0x82316f92c2b4ef325cc192d21aa3ea1f842056a5
5674040,4.99700000,0.00000000,4.99700000,165.70406353,173,4.99700000,0x4844b04e9757a65a4578fb9653626a482f599177,
5674049,0.99700000,0.00000000,0.99700000,166.70106353,174,0.99700000,0xa858b1e720592a6d2c8acba6ce97ef56f3c788cc,
5674054,0.99700000,0.00000000,0.99700000,167.69806353,175,0.99700000,0x6423095de04c16d5ea4f69b48f7e5cc26d904415,
5674063,1.09700000,0.00000000,1.09700000,168.79506353,176,1.09700000,0x8288d9332004c3ba5a997ba87afb44add0d92518,
5674071,0.99960000,0.00000000,0.99960000,169.79466353,177,0.99960000,0x93f3bd455ed35157a0a0636cf08d4c874480bc64,
5674075,2.98700000,0.00000000,2.98700000,172.78166353,178,2.98700000,0xddf7809a828efe1b62a9bc1c05f1af64d1df62ca,
5674082,1.04960000,0.00000000,1.04960000,173.83126353,179,1.04960000,0x03ffcf8f8de4ceedc6fa79055fc359c4716a6fd5,
5674090,1.99960000,0.00000000,1.99960000,175.83086353,180,1.99960000,0xa797f315fdd92c759a830a3a3b2f79aa012aba74,
5674092,2.08300000,0.00000000,2.08300000,177.91386353,181,2.08300000,0x2abf9b89dcc2c93f8d772445e112a0143e2c592b,
5674095,6.55120000,0.00000000,6.55120000,184.46506353,183,4.97460000,0xc3f3779ec82cb0152959c16f00f4c6813dd06d30|0x9c771695ab6e5009a2b4248bfb56a3d8ac28c99d,
5674122,1.99700000,30.00000000,-28.00300000,156.46206353,184,30.00000000,0xaaa739566d9db202adb6e8622f48fb248ea50970,0x17e50b7398f14c12202686017bee3578e9a0e469
5674128,1.24900000,0.00000000,1.24900000,157.71106353,185,1.24900000,0xa19cf824c95ce29422488e25af7fa5c093994723,
5674137,0.99700000,0.00000000,0.99700000,158.70806353,186,0.99700000,0x76161ed4736ae22d93b1ee00491fb03be678d244,
5674144,1.28700000,0.00000000,1.28700000,159.99506353,187,1.28700000,0x053baeefe6eb2ddfca76d8d16d64bb85f2a4bd2d,
5674146,0.99660000,0.00000000,0.99660000,160.99166353,188,0.99660000,0x1ce2454c5eaf586f5209b89beecedf2854dd6067,
5674150,0.20380000,0.00000000,0.20380000,161.19546353,189,0.20380000,0xb2c3435f692288102a406e8e647669a4b11c849a,
5674153,1.11560000,0.00000000,1.11560000,162.31106353,190,1.11560000,0xfb7862ac75b2541ffd5d800270b0aa05f1e278b2,
5674156,0.55210000,0.00000000,0.55210000,162.86316353,191,0.55210000,0x03c8a17f05c15023181e2ff1a4f2c82a3469f414,
5674159,1.25420000,0.00000000,1.25420000,164.11736353,193,0.99960000,0x28efac78c3a27f702aac2b1e902fcdf962318270|0xe75998fe6c787310367ab92b814805e1fe7adda3,
5674163,1.99960000,0.00000000,1.99960000,166.11696353,194,1.99960000,0x231447ea0988738ee6eddaeae2ff329dfeab0dc5,
5674191,1.31960000,0.00000000,1.31960000,167.43656353,195,1.31960000,0x8f9eda22bf45dacd61da8735b55b58a99e9339ad,
5674195,1.19460000,0.00000000,1.19460000,168.63116353,196,1.19460000,0xf2e15acc47ed746d7ec379d1c94430a557754500,
5674200,1.99960000,0.00000000,1.99960000,170.63076353,197,1.99960000,0x9cf4e1017566b6321a60957ba6a1b89a503335d1,
5674201,1.29570000,0.00000000,1.29570000,171.92646353,198,1.29570000,0x5d18dde804fe05594da1302ac2722cf213c12b79,
5674202,0.49960000,0.00000000,0.49960000,172.42606353,199,0.49960000,0x08e2ddd6c0b021faf02a6253d0ce1e76aafa1733,
5674540,0.00000000,0.62862085,-0.62862085,171.79744268,200,0.62862085,,0x12fb27f0e8be87e4843c861a389b6e84b14a9a6c
5674554,0.00000000,0.12899414,-0.12899414,171.66844854,201,0.12899414,,0x51c4d20285bbcb7d6562dc5d1a4075a35fa43c7d
5674558,0.00000000,40.00000000,-40.00000000,131.66844854,201,40.00000000,,0x17e50b7398f14c12202686017bee3578e9a0e469
5674588,0.00000000,0.90700000,-0.90700000,130.76144854,201,0.90700000,,0xabe336f432a8057f4532a754a9ac1fe69d37a558
5674706,0.00000000,0.42800000,-0.42800000,130.33344854,202,0.42800000,,0x3fa7d3368dc1d8a0ca0877f683119508de072b26
5674718,0.00000000,0.54000000,-0.54000000,129.79344854,203,0.54000000,,0xf5497bf0629f21cba3e3a25e3d4244cacd015f94
5674748,0.00000000,0.24604619,-0.24604619,129.54740235,204,0.24604619,,0x5c961600b77527b7f73aba5ede7a9648c6c35c5e
5674834,0.00000000,0.70000000,-0.70000000,128.84740235,205,0.70000000,,0xc0d4ae1f806c4ed394bc462ef93d7dcc2ca8fe32
5674845,0.00000000,0.10000000,-0.10000000,128.74740235,206,0.10000000,,0x2e61c56020e3fa98eff576fa2676688617a3e1ef
5674895,0.00000000,0.59736000,-0.59736000,128.15004235,206,0.59736000,,0x82316f92c2b4ef325cc192d21aa3ea1f842056a5
5675147,0.00000000,25.90000000,-25.90000000,102.25004235,207,25.90000000,,0x5312089b41e7e2611fa3e5a60190f3061c5ac3a9
5675713,0.00000000,0.79000000,-0.79000000,101.46004235,207,0.79000000,,0x0e5b7d02b1b35c5db0cd7e1b9a9f3fa27959ea64
5675734,0.00000000,6.50000000,-6.50000000,94.96004235,207,6.50000000,,0x0e5b7d02b1b35c5db0cd7e1b9a9f3fa27959ea64
5677436,0.00000000,0.02400000,-0.02400000,94.93604235,208,0.02400000,,0x49bdcc9c185b9570dd4a9b3de670940ad48517ce
5677484,0.00000000,0.05725000,-0.05725000,94.87879235,209,0.05725000,,0xd341ef6698f9045a9aea76449aca987964c44b9a
5677552,0.00000000,0.10940000,-0.10940000,94.76939235,209,0.10940000,,0xc0d4ae1f806c4ed394bc462ef93d7dcc2ca8fe32
5677580,0.00000000,0.05000000,-0.05000000,94.71939235,210,0.05000000,,0x80e4cb8425af78be3659aecd7ad8286c41865a52
5677842,0.00000000,0.26000000,-0.26000000,94.45939235,211,0.26000000,,0x1ee10e9379be9c200890afb6eea88761600e507b
5677847,0.00000000,1.11000000,-1.11000000,93.34939235,212,1.11000000,,0x201d2972850139adf894dd6d0f22e905b130b873
5678517,0.00000000,0.00096000,-0.00096000,93.34843235,213,0.00096000,,0xb36d3e514884cba8f2abf927e3975e3166078448
5679731,0.00000000,0.00010000,-0.00010000,93.34833235,214,0.00010000,,0xdeb5c0e647478cc606e08b040b28c7d88b19f56e
5682825,0.00000000,0.01000000,-0.01000000,93.33833235,215,0.01000000,,0x49ce82d1bf26b22975f7ca8d80d1f2bc8a209e39
5682831,0.00000000,0.01560000,-0.01560000,93.32273235,216,0.01560000,,0xfe0af3de922e376892a7ac5d8ddcf5434d2fd924
5682871,0.00000000,0.16000000,-0.16000000,93.16273235,217,0.16000000,,0xd1118f3b287cc77af939307b8bb30096711ff14c
5683141,0.00000000,0.11300000,-0.11300000,93.04973235,218,0.11300000,,0x4aee1a1d541bb2ba4a88b292d7cb7be3cf0db396
5683257,0.00000000,1.04570000,-1.04570000,92.00403235,218,1.04570000,,0xf40f02429d74736e4b1b84bb9154c65158f34ee2
5683605,0.00000000,0.80000000,-0.80000000,91.20403235,219,0.80000000,,0x1c753e88b9d574362cd2e706b7d7599573c69dc5
5683612,0.00000000,6.00000000,-6.00000000,85.20403235,219,6.00000000,,0x9e446f6133e47600e77c412e3a2987dbcb4a1638
5683629,0.00000000,1.85500000,-1.85500000,83.34903235,219,1.85500000,,0xf40f02429d74736e4b1b84bb9154c65158f34ee2
5683633,0.00000000,0.29000000,-0.29000000,83.05903235,220,0.29000000,,0xa15c30f0cc2ea47e0b435fbd78c687fa3209ffb9
5684294,0.00000000,0.00001000,-0.00001000,83.05902235,221,0.00001000,,0x4ca3aed2a3fa9587c0efc2751083ab7426570086
5684430,0.00000000,0.37700000,-0.37700000,82.68202235,221,0.37700000,,0x2a02a5ab8319949878a8166f06e2e0c34e393da3
5684488,0.00000000,40.00000000,-40.00000000,42.68202235,221,40.00000000,,0x17e50b7398f14c12202686017bee3578e9a0e469
5689460,0.00000000,20.00000000,-20.00000000,22.68202235,221,20.00000000,,0x17e50b7398f14c12202686017bee3578e9a0e469
5690227,0.00000000,19.00000000,-19.00000000,3.68202235,221,19.00000000,,0x17e50b7398f14c12202686017bee3578e9a0e469
5690279,2.49700000,0.00000000,2.49700000,6.17902235,222,2.49700000,0x84b23038b0ee19d50ff3e9a5ef6252fba20ce492,
5690301,0.99700000,0.00000000,0.99700000,7.17602235,223,0.99700000,0xdfb78ed8b436603bf3a74640df3544887404890d,
5690309,1.25200000,0.00000000,1.25200000,8.42802235,224,1.25200000,0x935bcc100ce7fc8359c52ab073f4676e9d43e41f,
5690330,1.02300000,0.00000000,1.02300000,9.45102235,225,1.02300000,0x062f2892be5a66d7b9c3e402dadb6969ea825308,
5690345,1.09700000,0.00000000,1.09700000,10.54802235,226,1.09700000,0x20d28cb60b37de8222e486191403bb05a0d1c04f,
5690379,29.38700000,0.00000000,29.38700000,39.93502235,226,29.38700000,0x724a0b551d5f4c40acb2e9da3d16a1817c1ca42c,
5690382,0.00000000,10.00000000,-10.00000000,29.93502235,226,10.00000000,,0x17e50b7398f14c12202686017bee3578e9a0e469
5690392,0.08970000,0.00000000,0.08970000,30.02472235,227,0.08970000,0x6461fd8db48ff476a71330953015f381f877f3ae,
5690459,0.00000000,29.00000000,-29.00000000,1.02472235,227,29.00000000,,0x17e50b7398f14c12202686017bee3578e9a0e469
5690500,19.00000000,0.00000000,19.00000000,20.02472235,228,19.00000000,0x0d0707963952f2fba59dd06f2b425ace40b492fe,
5690527,0.00000000,18.00000000,-18.00000000,2.02472235,228,18.00000000,,0x17e50b7398f14c12202686017bee3578e9a0e469
5690559,1.40700000,0.00000000,1.40700000,3.43172235,229,1.40700000,0x61fcd5904380ab9000d4153c27afa465ae79185f,
5690568,1.06100000,0.00000000,1.06100000,4.49272235,230,1.06100000,0xfb7d2faf0a38964d90b8d14c535f37efbd7a2323,
5690571,0.99700000,0.00000000,0.99700000,5.48972235,231,0.99700000,0x8f8fa539830e0270ab5c81b6fd60c1fba9f81dc1,
5690578,2.48200000,0.00000000,2.48200000,7.97172235,232,2.48200000,0x17bd6358d2658e0efb3a5b5990546b0611dc799c,
5690585,4.62000000,0.00000000,4.62000000,12.59172235,233,4.62000000,0xc7a1f42016733f3cdc0fce1189b1e91ff918e1f7,
5690597,1.13900000,0.00000000,1.13900000,13.73072235,234,1.13900000,0x93d0350f01912cb66542b85509470c71e56fb159,
5690693,5.92800000,0.00000000,5.92800000,19.65872235,234,5.92800000,0x154aa2c00339a7381a19ce3a899db59f52a3eca9,
5690695,10.76920000,0.00000000,10.76920000,30.42792235,235,10.76920000,0x688297648155c3b685e2eaf5c89ced0949b88566,
5690709,0.00000000,1.00000000,-1.00000000,29.42792235,236,1.00000000,,0x2a1ad6668d5656f738ea592e19c6b670a1467654
5690715,25.14430000,0.00000000,25.14430000,54.57222235,237,25.14430000,0xcc70ee3a274d474d01a4b4c007eb10072d13dc49,
5690721,13.02760000,0.00000000,13.02760000,67.59982235,238,13.02760000,0xc4ab405813812655a4334dc2f3709ec06bf44afd,
5690722,15.02960000,0.00000000,15.02960000,82.62942235,239,15.02960000,0xc983df123457f107f9553b40160cf82aea4caf43,
5690727,17.61770000,0.00000000,17.61770000,100.24712235,240,17.61770000,0x2ccf69f0b2bbc6c3954462dbd9ca8b629d729c71,
5690731,25.89220000,0.00000000,25.89220000,126.13932235,241,25.89220000,0x0a8970dc783695156819ed5cc3b937430d0552d1,
5690861,0.00000000,50.00000000,-50.00000000,76.13932235,241,50.00000000,,0x17e50b7398f14c12202686017bee3578e9a0e469
5690889,8.09100000,0.00000000,8.09100000,84.23032235,242,8.09100000,0xfe96a838f64de9de9d6e6d2a23725e70baae7524,
5690899,10.06500000,0.00000000,10.06500000,94.29532235,243,10.06500000,0x52c96f875fd91c67453c06ef882d8c33c1c72078,
5690910,7.17200000,0.00000000,7.17200000,101.46732235,244,7.17200000,0xaf49b2121c45a1d12c1f63a6beb8c3a1c93a766d,
5690913,2.91700000,0.00000000,2.91700000,104.38432235,245,2.91700000,0xacb6fc862f2948b1bcf58a88445aaa429131692f,
5690915,6.02100000,0.00000000,6.02100000,110.40532235,245,6.02100000,0xb2c3435f692288102a406e8e647669a4b11c849a,
5690920,6.36200000,0.00000000,6.36200000,116.76732235,246,6.36200000,0x44068d849b5f053b1a550d21feadfcbb75a2f22f,
5690928,3.53250000,0.00000000,3.53250000,120.29982235,247,3.53250000,0x2046d272d872d63f6b930241d0bdc930d78a045e,
5690929,3.09600000,0.00000000,3.09600000,123.39582235,248,3.09600000,0x7662a8f4079dc5d91f5c24a82a6c53856cf9c92b,
5690936,2.99260000,0.00000000,2.99260000,126.38842235,249,2.99260000,0x1e328ad60f69f15264bc384ce342a3464973e5c4,
5690943,2.94850000,0.00000000,2.94850000,129.33692235,250,2.94850000,0xd7c3ff99a27fc62d508dabf843ce9def17f29d09,
5690953,2.79870000,0.00000000,2.79870000,132.13562235,251,2.79870000,0x8480dc94efcb62d0a7394ac88c739123e77eb623,
5690960,2.71870000,0.00000000,2.71870000,134.85432235,252,2.71870000,0xc8746c439417008332c9029eb45de12840d3ccb2,
5690963,2.64870000,0.00000000,2.64870000,137.50302235,253,2.64870000,0xb3bfd44a15dd243c71badb98f36f3b2fdb2e4a97,
5690965,2.64100000,0.00000000,2.64100000,140.14402235,254,2.61300000,0xe90918e19a22bfc69c379962bcaf1640c0dabb5e|0x636e25aedd97bf24a91382b87a4d32b058985543,
5690967,2.49870000,0.00000000,2.49870000,142.64272235,255,2.49870000,0x272d819369beaa1f8d4d9d701aa4c14cf1b7de9b,
5690970,4.78360000,0.00000000,4.78360000,147.42632235,256,4.78360000,0xf52898bf3925b7f32feca7a2a298440b35f60c99,
5690973,3.99800000,0.00000000,3.99800000,151.42432235,257,3.99800000,0xea5f75d63fb5456cba7cf6c90f83ccebe2597636,
5690976,4.39500000,0.00000000,4.39500000,155.81932235,258,4.39500000,0x19844f555fba9b5b00d782c3d3178d9e9f23bfd6,
5691028,3.23730000,0.00000000,3.23730000,159.05662235,259,3.23730000,0x232bea6f55e5cc7ef5bfd60c1a6b028210641fa4,
5691061,19.99960000,0.00000000,19.99960000,179.05622235,260,19.99960000,0x72be80bc4fa7df5c5455880152553f8f986e11a0,
5691546,4.99960000,0.00000000,4.99960000,184.05582235,261,4.99960000,0xad6359aab383cdc709a7a09c68a0f85b17841df3,
5694660,0.00000000,8.50000000,-8.50000000,175.55582235,262,8.50000000,,0x962ed59c6c7a71597d6d9db89cd25a5a4768f121
5694800,0.00000000,1.62700000,-1.62700000,173.92882235,263,1.62700000,,0x983b968a37f9e89e7e1e33a118eb5c9e53f59935
5694912,0.00000000,1.13050000,-1.13050000,172.79832235,264,1.13050000,,0xf67ac69e14c6b20bf64046b14b0cfeaf5c337c9c
5694985,0.00000000,0.00731689,-0.00731689,172.79100546,265,0.00731689,,0x0e9a1d80b90acc01fc0af9795f13fb3cc56f56d7
5696120,0.00000000,1.20000000,-1.20000000,171.59100546,266,1.20000000,,0x6ce110b2731756a33002ac568e9ebabdf82499c3
5696239,0.00000000,0.25000000,-0.25000000,171.34100546,267,0.25000000,,0x98d2e9862e193d93657103362aaa6f721883b208
5696566,1.57310000,0.00000000,1.57310000,172.91410546,268,1.57310000,0xf21937118b145bdc2a90ffd38ed01f2d254ab981,
5696570,1.07960000,0.00000000,1.07960000,173.99370546,269,1.07960000,0xc888d332e43d70109b0fc1e0260fb5f5c58ffb5a,
5696571,1.10960000,0.00000000,1.10960000,175.10330546,270,1.10960000,0x85688a6967a7fa4cc9df197001b5f39aef0caa9f,
5696573,1.10960000,0.00000000,1.10960000,176.21290546,271,1.10960000,0x83630cff34fdef587db8da5604679f2f004c3cc1,
5696577,2.00350000,0.00000000,2.00350000,178.21640546,272,2.00350000,0xa102e704656f608071ed6b11e14e556adc120376,
5696592,1.41560000,0.00000000,1.41560000,179.63200546,273,1.41560000,0x51f1b36e6c02153862da4c06d789a1d9e5b0c16e,
5696593,1.41560000,0.00000000,1.41560000,181.04760546,274,1.41560000,0x5297480b650b3ab17d0d2a548a418bccbd762d76,
5696641,1.39460000,0.00000000,1.39460000,182.44220546,275,1.39460000,0x023a3e1abb85cab0bc34b98e47da72874989f75d,
5696645,1.74340000,0.00000000,1.74340000,184.18560546,276,1.74340000,0x3644b2aed45001ce3a93f73a1f878bbb6e4adf5d,
5696648,1.12630000,0.00000000,1.12630000,185.31190546,277,1.12630000,0xfc3374be6ef8e5af88a835ba8dd995722c5e9617,
5696656,1.02400000,0.00000000,1.02400000,186.33590546,278,1.02400000,0xab84c676cb89c1147a5682ee252e0f2d0a97098a,
5696658,26.03220000,0.00000000,26.03220000,212.36810546,280,19.24480000,0x9625d214312b548771a1a52adbe9b98a3487feef|0x05a89b2ba1d503c75bdccd100fdc6a7d6bad6312|0x0a8970dc783695156819ed5cc3b937430d0552d1,
5696687,3.57550000,0.00000000,3.57550000,215.94360546,281,2.12300000,0xa838d976ee102504952eeea71fa589211221f672|0x3013c582550eb68fbaed094c5a1d2c40f99a1671,
