block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3687684,0.05000000,0.00000000,0.05000000,0.05000000,1,0.05000000
3687685,0.01000000,0.00000000,0.01000000,0.06000000,1,0.01000000
3687689,0.01000000,0.00000000,0.01000000,0.07000000,1,0.01000000
3709865,0.00000000,0.07000000,-0.07000000,0.00000000,2,0.07000000
