block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3690198,0.05000000,0.00000000,0.05000000,0.05000000,1,0.05000000
3690375,0.00000000,0.02500000,-0.02500000,0.02500000,2,0.02500000
